College,Department,Total Courses,Sustainable Courses,Sustainable Enrollment,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
,AI中心,6,6,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1
,X實驗學士,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,中文一乙,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,中文一甲,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,中文一甲中文一乙,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,中文三乙,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,中文三甲,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,中文三甲中文三乙,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,中文二乙,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,中文二甲,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,中文二甲中文二乙,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,中文四甲中文四乙,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,中文碩一中文博一中文碩二中文博二,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,中文系,34,16,0,0,0,0,14,1,0,0,0,0,5,1,0,0,0,0,0,0
,中東亞一,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,中東亞一中東亞二,12,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,亞太博一亞太博二,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,亞太博一亞太博二亞太博三,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,亞太碩一亞太碩二,17,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,亞太碩一亞太碩二亞太碩三,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,亞太碩一亞太碩二亞太碩三亞太碩四,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,亞際碩一,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,人智學程,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,人智應學士,11,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
,企博學一企博學二,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,企博學一企博學二企博學三,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,企博學一企博學二企博學三企博學四企博學五企博學六,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,企博學三,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,企博產一,6,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,企博產二,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,企研碩一,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
,企研碩一企研碩二,26,5,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,0
,企研碩二,4,1,22,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
,企管一乙,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,企管一甲,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,企管一甲企管一乙,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,企管三甲企管三乙,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,企管三甲企管三乙企管四甲企管四乙,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,企管二甲企管二乙,3,2,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0
,企管四甲企管四乙,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,企管系,16,4,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0
,俄研所,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
,俄羅碩一俄羅碩二,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,傳在碩一,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,傳在碩一傳在碩二,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,傳在碩二,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,傳播博一傳播博二,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,傳播學,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,傳播碩一傳播碩二,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,傳播院學,14,3,170,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
,傳院一丁,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,傳院一丙,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,傳院一乙,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,傳院一甲,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,傳院一甲傳院一乙傳院一丙傳院一丁,15,2,37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
,傳院二甲傳院二乙傳院二丙傳院二丁,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,全創碩一全創碩二,18,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
,全創碩一全創碩二全創碩三,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,公行一,4,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,公行三,2,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,公行三公行四,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,公行二,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,公行博一公行博二,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,公行碩一,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,公行碩一公行博一公行碩二公行博二,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,公行碩一公行碩二,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,公行系,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
