科目代號,永續課程
000211012,1
000216001,2
000217012,3
000217022,1
000217032,3
000217042,3
000218002,3
000218012,3
000218022,3
000218042,3
000218052,3
000219022,3
000219032,5
000219042,3
000219052,4
000219082,1
000219112,1
000219122,2
000219512,2
000219522,3
000219532,3
000219552,3
000219562,3
000219572,1
000219582,4
000221002,3
000221012,3
000221032,3
000226021,5
000227011,4
000228022,2
000228032,1
000228042,3
000229002,4
000318011,2
000318021,2
000318031,2
000318041,1
000318051,3
000318061,3
000318071,2
000318081,3
000318091,4
000318101,1
000318111,1
000318121,3
000318131,2
000318141,2
000327011,3
000327021,3
000327031,3
000335011,3
000335021,3
000346011,2
000346021,2
000346031,2
000347041,2
000347061,1
000347081,2
000347121,3
000348021,2
000348031,4
000348051,3
000348061,3
000350001,3
000350011,2
000350041,2
000350051,3
000350061,2
000351011,4
000351031,4
000351051,1
000351061,1
000356001,5
000356011,5
000356021,3
000356031,5
000356041,5
000356051,5
000357011,2
000357021,1
000357031,1
000358011,1
000358021,3
000358031,3
000359091,3
000360011,2
000360021,1
000360031,1
000360041,2
000360051,2
000360061,3
000360071,1
000360081,1
000360201,1
000360211,1
000601002,3
000601012,2
000604001,4
000604011,3
000604021,1
000604031,3
000604041,4
000605002,4
000605022,2
000702011,4
000711002,2
000711012,1
000711022,1
000712001,1
000712011,1
000713012,3
000713022,1
000713032,1
002008011,1
002009001,1
002012011,3
002012021,3
002021011,3
002021021,3
002021031,3
002051001,1
002062011,5
002062021,5
002062031,4
002062041,1
002065011,4
002065021,4
002071011,3
002071021,3
002076011,5
002097011,1
002097021,1
002097031,1
002112001,1
002112011,1
002113011,2
002115001,1
002151001,1
002301001,1
002301021,5
002301031,5
002301041,5
002303011,4
002303021,4
002303031,4
002303041,4
002303061,4
002303071,4
002303081,4
002305021,5
002305031,3
002311021,1
002311031,1
002311041,1
002312001,1
002316001,1
002316011,1
002325011,1
002327011,1
002328001,1
002329001,2
002335001,4
002335011,4
002335021,4
002337001,4
002337011,4
002338001,5
002339001,1
002339011,1
002339021,1
002339031,1
002339041,1
002340021,1
002341001,2
002343001,1
002343011,1
002344001,1
002346001,3
002347001,3
002347021,3
002348001,1
002348011,1
002350001,1
002350011,1
002355001,1
002361011,2
002361021,2
002362001,1
002362011,1
002362021,1
002366001,3
002366011,3
002366021,1
002366031,3
002366041,4
002366071,1
002367001,3
002368001,3
002368011,3
002368021,3
002369001,1
002373001,3
002373011,3
002374001,3
002374011,3
002375001,5
002377001,3
002378001,1
002378011,1
002380001,2
002380011,2
002381001,5
002381011,5
002381021,5
002383001,1
002384001,4
002387001,5
002389011,1
003826011,3
003826021,3
003828011,3
003828021,3
003829011,4
003829021,4
010026001,3
