
--- University-wide SDG Coverage (Gemini-2.5-flash) ---
Total courses analyzed: 2856
Courses related to at least one SDG (score > 9.0): 1609 (56.34%)

Courses related to each SDG (University-wide, absolute count):
1. No Poverty: 18 courses
2. Zero Hunger: 2 courses
3. Good Health and Well-being: 97 courses
4. Quality Education: 486 courses
5. Gender Equality: 42 courses
6. Clean Water and Sanitation: 1 courses
7. Affordable and Clean Energy: 12 courses
8. Decent Work and Economic Growth: 163 courses
9. Industry, Innovation and Infrastructure: 272 courses
10. Reduced Inequalities: 165 courses
11. Sustainable Cities and Communities: 95 courses
12. Responsible Consumption and Production: 60 courses
13. Climate Action: 54 courses
14. Life Below Water: 6 courses
15. Life on Land: 31 courses
16. Peace, Justice and Strong Institutions: 588 courses
17. Partnerships for the Goals: 135 courses

--- Course SDG Density Analysis (Gemini-2.5-pro) ---

--- Top 10 Courses for SDG: No Poverty (Gemini-2.5-pro) ---
| Rank | Course ID | Course Name | Department | Score | Reasoning | Evidence | Course URL |
|------|-----------|-------------|------------|-------|-----------|----------|------------|
| 1    | 651B65001 | 社會法專題研究（六）  | 法律碩一法律博一法律碩二法律博二                                                                                  | 10.00 | The course's fundamental focus on 'Social Welfare Basic Law' and 'social benefits' directly addresses Target 1.3's call for national social protection systems for the poor and vulnerable. | 社會福利基本法, 社會給付法律關係 | [Link](https://newdoc.nccu.edu.tw/teaschm/1132/schmPrv.jsp-yy=113&smt=2&num=651B65&gop=00&s=1.html) |
| 2    | 264902001 | 貧窮與社會工作     | 社工碩一社工博一社工碩二社工博二                                                                                  | 10.00 | The course title and description explicitly state its core focus on poverty research, policies, issues, and practical work, directly addressing multiple targets of SDG 1. | Poverty and Social Work, 貧窮與社會工作, 國際反貧窮之策略與實務 | [Link](https://newdoc.nccu.edu.tw/teaschm/1132/schmPrv.jsp-yy=113&smt=2&num=264902&gop=00&s=1.html) |
| 3    | 862923001 | 都市貧窮與不均     | 國研碩一國研碩二                                                                                            | 10.00 | The course title and description explicitly focus on 'Poverty and Inequality,' with readings directly addressing poverty eradication. Model A's revision to 10.0, acknowledging Model B's comprehensive evidence, is accurate. | Poverty and Inequality in the Era of Urbanization, causes and consequences of poverty and inequality, A Measured Approach to Ending Poverty and Boosting Shared Prosperity | [Link](https://newdoc.nccu.edu.tw/teaschm/1132/schmPrv.jsp-yy=113&smt=2&num=862923&gop=00&s=1.html) |
| 4    | 202807001 | 全球議題：對外援助與發展 | 政治三政治四                                                                                              | 10.00 | Explicitly listed as 'goal 1 end of poverty' and directly supported by a core reading, 'Tackling Poverty and Inequalities through the Green Transition,' indicating central importance. | goal 1 end of poverty, Development Co-operation Report 2024: Tackling Poverty and Inequalities through the Green Transition | [Link](https://newdoc.nccu.edu.tw/teaschm/1132/schmPrv.jsp-yy=113&smt=2&num=202807&gop=00&s=1.html) |
| 5    | 308013001 | 社會保險                                                     | 風管三                                                                                                  | 10.00 | The course's core topic, 'Social Insurance,' directly implements Target 1.3 by establishing social protection systems, including specific schemes like the National Pension, crucial for poverty eradication. | 社會保險, Social Insurance, 國民年金 | [Link](https://newdoc.nccu.edu.tw/teaschm/1132/schmPrv.jsp-yy=113&smt=2&num=308013&gop=00&s=1.html) |
| 6    | 926882001 | 都市貧窮與不均     | 亞太碩一亞太碩二                                                                                            | 10.00 | The course title and description explicitly focus on 'Poverty and Inequality,' directly addressing its causes and consequences, aligning perfectly with multiple targets of SDG 1. | 都市貧窮與不均, Poverty and Inequality in Era of Urbanization, study the causes and consequences of poverty and inequality | [Link](https://newdoc.nccu.edu.tw/teaschm/1132/schmPrv.jsp-yy=113&smt=2&num=926882&gop=00&s=1.html) |
| 7    | 358035001 | 社會保險        | 風管碩一風管碩二                                                                                            | 10.00 | The course directly covers social insurance systems (e.g., National Pension), which are fundamental social protection measures for the poor and vulnerable, aligning perfectly with SDG 1, Target 1.3. | 社會保險運作與財務之基本概念, 台灣各類型社會保險制度內容, 國民年金 | [Link](https://newdoc.nccu.edu.tw/teaschm/1132/schmPrv.jsp-yy=113&smt=2&num=358035&gop=00&s=1.html) |
| 8    | 252673001 | 全球議題：對外援助與發展 | 政治碩一政治碩二                                                                                            | 10.00 | Explicitly listed as 'goal 1 end of poverty,' central to the course name 'Foreign Aid and Development,' and directly supported by the 'Tackling Poverty and Inequalities' reading. | goal 1 end of poverty, Development Co-operation Report 2024: Tackling Poverty and Inequalities through the Green Transition | [Link](https://newdoc.nccu.edu.tw/teaschm/1132/schmPrv.jsp-yy=113&smt=2&num=252673&gop=00&s=1.html) |
| 9    | 261101001 | 經濟發展理論      | 國發碩一國發碩二                                                                                            | 10.00 | The course explicitly dedicates a week to 'Poverty, Inequality, and Development' (Ch 5) and lists 'poverty issues' in its learning outcomes, directly aligning with SDG 1 targets. | Poverty, Inequality, and Development, development and poverty issues | [Link](https://newdoc.nccu.edu.tw/teaschm/1132/schmPrv.jsp-yy=113&smt=2&num=261101&gop=00&s=1.html) |
