"科目代號
Course #","學分數
Point",科目名稱,Unnamed: 3,"授課教師
Instructor ",Unnamed: 5,"開課系級
Department and Level / Course School/Department",Unnamed: 7,"上課時間
Session",Unnamed: 9,"上課地點
Classroom","修別
Type of credit","授課語文
Lecture Language","是否為核心通識
Eligible for substitution as general education","異動備註
Information of alteration","科目備註說明
Note",course_url
000211011,3.0,政治學                                                      ,Political science,蔡中民                                                                                                 ,TSAI CHUNG-MIN,政治系      ,Department of Political Science                                                                                                       ,一D56         ,mon13-16,綜合中央大教室 (270751)              ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:政治系優先。本課程於第二階段初選登記開放選課。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000211&gop=01&s=1.html
000216011,3.0,社會學,Sociology,陳宗文                                                                                                 ,CHEN TZUNG-WEN,社會系      ,Department of Sociology                                                                                                               ,一D56         ,mon13-16,綜南270113                      ,選/Elective,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000216&gop=01&s=1.html
000217011,3.0,個體經濟學,Microeconomics,陳鎮洲                                                                                                 ,CHEN JENN-JOU,經濟系      ,Department of Economics                                                                                                               ,四234         ,thu09-12,綜合中央大教室 (270751)              ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:本課程有實習課,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000217&gop=01&s=1.html
000217021,3.0,個體經濟學,Microeconomics,李慧琳                                                                                                 ,LEE HUEY-LIN,經濟系      ,Department of Economics                                                                                                               ,一D56         ,mon13-16,資訊140307                      ,必/Required,英文/English          ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:本課程為英語授課，另有實習課。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000217&gop=02&s=1.html
000217031,3.0,個體經濟學,Microeconomics,徐麗振                                                                                                 ,HSU LI-CHEN,經濟系      ,Department of Economics                                                                                                               ,二D56         ,tue13-16,綜南270415                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:財政系學生優先，本課程有實習課，先修科目為經濟學，且建議修畢微積分再選課。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000217&gop=03&s=1.html
000217041,3.0,個體經濟學,Microeconomics,黃柏鈞                                                                                                 ,HUANG PO-CHUN,經濟系      ,Department of Economics                                                                                                               ,三D56         ,wed13-16,綜合中央大教室 (270751)              ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:本課程有實習課。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000217&gop=04&s=1.html
000218001,3.0,總體經濟學                                                  ,Macroeconomics,莊奕琦                                                                                                 ,CHUANG YIH-CHYI,經濟系      ,Department of Economics                                                                                                               ,五234         ,fri09-12,綜合中央大教室 (270751)              ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:時間異動於2025/08/06;,＠備註Note:本課程有實習課,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000218&gop=00&s=1.html
000218011,3.0,總體經濟學                                                  ,Macroeconomics,洪福聲                                                                                                 ,HUNG FU-SHENG,經濟系      ,Department of Economics                                                                                                               ,二234         ,tue09-12,綜合中央大教室 (270751)              ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:本課程有實習課,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000218&gop=01&s=1.html
000218021,3.0,總體經濟學                                                  ,Macroeconomics,梁斐琪                                                                                                 ,LIANG FEI-CHI,經濟系      ,Department of Economics                                                                                                               ,三234         ,wed09-12,大智190305                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000218&gop=02&s=1.html
000218041,3.0,總體經濟學                                                  ,Macroeconomics,朱琇妍                                                                                                 ,CHU SHIOU-YEN,經濟系      ,Department of Economics                                                                                                               ,三D56         ,wed13-16,人偉講堂                          ,必/Required,英文/English          ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:財政系學生優先，本課程為英語授課，另有實習課,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000218&gop=04&s=1.html
000218051,3.0,總體經濟學,Macroeconomics,李文傑                                                                                                 ,LEE WEN-CHIEH,經濟系      ,Department of Economics                                                                                                               ,四234         ,thu09-12,大勇210202                      ,必/Required,英文/English          ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:本課程為英語授課，另有實習課。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000218&gop=05&s=1.html
000219021,3.0,經濟學                                                      ,Economics,翁永和                                                                                                 ,WENG YUNGHO,經濟系      ,Department of Economics                                                                                                               ,四D56         ,thu13-16,大勇210103                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:外交及資管系學生優先，本課程有實習課。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000219&gop=02&s=1.html
000219031,3.0,經濟學,Economics,王信實                                                                                                 ,WANG SHINN-SHYR,經濟系      ,Department of Economics                                                                                                               ,五234         ,fri09-12,綜南270112                      ,必/Required,英文/English          ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:本課程為英語授課,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000219&gop=03&s=1.html
000219041,3.0,經濟學,Economics,莊奕琦                                                                                                 ,CHUANG YIH-CHYI,經濟系      ,Department of Economics                                                                                                               ,四234         ,thu09-12,大勇210106                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:時間異動於2025/08/06;,＠備註Note:經濟系學生優先，本課程有實習課。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000219&gop=04&s=1.html
000219051,3.0,經濟學                                                      ,Economics,李文傑                                                                                                 ,LEE WEN-CHIEH,經濟系      ,Department of Economics                                                                                                               ,三234         ,wed09-12,大勇210201                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:公行系學生優先,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000219&gop=05&s=1.html
000219081,3.0,經濟學,Economics,廖郁萍                                                                                                 ,LIAO YU-PING,經濟系      ,Department of Economics                                                                                                               ,三234         ,wed09-12,大勇210104                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:地政系學生優先。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000219&gop=08&s=1.html
000219111,3.0,經濟學,Economics,彭喜樞                                                                                                 ,PENG SHI SHU,經濟系      ,Department of Economics                                                                                                               ,三D56         ,wed13-16,綜南270112                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:財政一乙學生優先，本課程有實習課。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000219&gop=11&s=1.html
000219121,3.0,經濟學,Economics,胡偉民                                                                                                 ,HU WEI-MIN,經濟系      ,Department of Economics                                                                                                               ,二234         ,tue09-12,大勇210103                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:財政一甲學生優先，本課程有實習課。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000219&gop=12&s=1.html
000219511,3.0,經濟學                                                      ,Economics,吳文傑                                                                                                 ,WU WEN-CHIEH,國貿系      ,Department of International Business                                                                                                  ,一D56         ,mon13-16,大勇210103                      ,必/Required,英文/English          ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:ETP優先，英語授課。114.12.13上午舉行會考，修課學生皆須參加，無法參加同學請勿修讀。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000219&gop=51&s=1.html
000219521,3.0,經濟學                                                      ,Economics,林信助                                                                                                 ,LIN SHINN-JUH,國貿系      ,Department of International Business                                                                                                  ,二234         ,tue09-12,資訊140206                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:貿一甲、會一甲、風管系優先。114.12.13上午舉行會考，修課學生皆須參加，無法參加同學請勿修讀。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000219&gop=52&s=1.html
000219531,3.0,經濟學                                                      ,Economics,蔡致遠                                                                                                 ,TSAI CHI-YUAN,國貿系      ,Department of International Business                                                                                                  ,三234         ,wed09-12,學思040202                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:貿一乙、企一乙、外語學程優先。114.12.13上午舉行會考，修課學生皆須參加，無法參加同學請勿修讀。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000219&gop=53&s=1.html
000219541,3.0,經濟學                                                      ,Economics,郭炳伸                                                                                                 ,KUO BIING-SHEN,國貿系      ,Department of International Business                                                                                                  ,三234         ,wed09-12,研究250305                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:財管系優先。114.12.13上午舉行會考，修課學生皆須參加，無法參加同學請勿修讀。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000219&gop=54&s=1.html
000219551,3.0,經濟學                                                      ,Economics,朴民佑                                                                                                 ,PARK MINWOO,國貿系      ,Department of International Business                                                                                                  ,四D56         ,thu13-16,研究250305                      ,必/Required,英文/English          ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:企一甲優先，英語授課。114.12.13上午舉行會考，修課學生皆須參加，無法參加同學請勿修讀。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000219&gop=55&s=1.html
000219561,3.0,經濟學                                                      ,Economics,鄭鴻章                                                                                                 ,CHENG HUNG-CHANG,國貿系      ,Department of International Business                                                                                                  ,四D56         ,thu13-16,學思040202                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:金融系優先。114.12.13上午舉行會考，修課學生皆須參加，無法參加同學請勿修讀。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000219&gop=56&s=1.html
000219571,3.0,經濟學                                                      ,Economics,溫偉任                                                                                                 ,WEN WEI-JEN,國貿系      ,Department of International Business                                                                                                  ,五234         ,fri09-12,研究250103                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:統計系，會一乙優先。114.12.13上午舉行會考，修課學生皆須參加，無法參加同學請勿修讀。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000219&gop=57&s=1.html
000221001,3.0,財政學,Public Finance,黃智聰                                                                                                 ,HUANG JR-TSUNG,財政系      ,Department of Public Finance                                                                                                          ,二D56         ,tue13-16,綜合中央大教室 (270751)              ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:開放加簽,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000221&gop=00&s=1.html
000221011,3.0,財政學,Public Finance,陳國樑                                                                                                 ,CHEN JOE,財政系      ,Department of Public Finance                                                                                                          ,三234         ,wed09-12,大勇210103                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:財政系及經濟系優先/建議先修過微積分,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000221&gop=01&s=1.html
000226001,3.0,政治學,Political science,周家瑜                                                                                                 ,CHOU CHIA-YU,政治系      ,Department of Political Science                                                                                                       ,三D56         ,wed13-16,大勇210206                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:(1)公行系優先，本課程於第二階段初選登記開放選課。(2)為確保同學了解課程要求，請想修課或加簽的同學第一周務必出席。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000226&gop=00&s=1.html
000226011,3.0,政治學,Political science,孫采薇                                                                                                 ,SUN TSAI-WEI,政治系      ,Department of Political Science                                                                                                       ,一D56         ,mon13-16,大勇210201                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:外交系優先。本課程於第二階段初選登記開放選課。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000226&gop=01&s=1.html
000226021,3.0,政治學,Political science,韋洪武                                                                                                 ,WEI HUNG-WU,政治系      ,Department of Political Science                                                                                                       ,一D56         ,mon13-16,綜北270106                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000226&gop=02&s=1.html
000227001,3.0,國際關係,International Relations,馮慕文                                                                                                 ,FONSECA FERNANDEZ FABRICIO ANTONIO,外交系      ,Department of Diplomacy                                                                                                               ,二D56         ,tue13-16,大勇210202                      ,必/Required,英文/English          ,否/No     ,＠異動資訊Information of alteration:教室異動於2025/07/24;,＠備註Note:N/A,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000227&gop=00&s=1.html
000227011,3.0,國際關係,International Relations,郭昕光                                                                                                 ,KUO HSIN-KUANG,外交系      ,Department of Diplomacy                                                                                                               ,二234         ,tue09-12,大勇210201                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:第一堂課未到請自行退選，未退課該科以零分計算。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000227&gop=01&s=1.html
000228021,3.0,貨幣銀行學,Money and Banking,林馨怡                                                                                                 ,LIN HSIN-YI,經濟系      ,Department of Economics                                                                                                               ,二D56         ,tue13-16,大勇210103                      ,群/Partially Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:本課程下學期由張興華老師授課,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000228&gop=02&s=1.html
000228031,3.0,貨幣銀行學,Money and Banking,蕭明福                                                                                                 ,SHAW MING-FU,經濟系      ,Department of Economics                                                                                                               ,四D56         ,thu13-16,大勇210105                      ,群/Partially Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000228&gop=03&s=1.html
000228041,3.0,貨幣銀行學,Money and Banking,賴廷緯                                                                                                 ,LAI TING-WEI,經濟系      ,Department of Economics                                                                                                               ,五234         ,fri09-12,大勇210202                      ,群/Partially Required,英文/English          ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:本課程為英語授課,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000228&gop=04&s=1.html
000229001,4.0,社會學,Sociology,馬藹萱                                                                                                 ,MA AI-HSUAN,社會系      ,Department of Sociology                                                                                                               ,二1234        ,tue08-12,綜南270114                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:N/A,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000229&gop=00&s=1.html
000314011,3.0,初級會計學（一）,Fundamental Accounting (I),徐愛恩                                                                                                 ,STEPHANIE TSUI,會計系      ,Department of Accounting                                                                                                              ,一D56         ,mon13-16,資訊140306                      ,必/Required,英文/English          ,否/No     ,＠異動資訊Information of alteration:教室異動於2025/08/18;,＠備註Note:英語授課，ETP優先。非同步遠距教學，不開放加簽。本課程於114.12.13(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000314&gop=01&s=1.html
000314021,3.0,初級會計學（一）,Fundamental Accounting (I),何怡澄                                                                                                 ,HO YI-CHENG,會計系      ,Department of Accounting                                                                                                              ,一D56         ,mon13-16,研究250103                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:財政一甲、企管一乙，實習課:一C。本課程於114.12.13(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000314&gop=02&s=1.html
000314031,3.0,初級會計學（一）,Fundamental Accounting (I),陳宇紳                                                                                                 ,CHEN YU SHEN,會計系      ,Department of Accounting                                                                                                              ,一D56         ,mon13-16,研究250201                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:下學期翁嘉祥老師，財管一。第一堂課請務必出席。因教室人數限制，本課程不接受加簽，電郵詢問加簽相關問題恕不回應。本課程於114.12.13(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000314&gop=03&s=1.html
000314041,3.0,初級會計學（一）,Fundamental Accounting (I),詹凌菁                                                                                                 ,CHAN LING-CHING,會計系      ,Department of Accounting                                                                                                              ,三234         ,wed09-12,研究250105                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:企管一甲，第一堂課請務必出席。本課程於114.12.13(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000314&gop=04&s=1.html
000314051,3.0,初級會計學（一）,Fundamental Accounting (I),梁嘉紋                                                                                                 ,LIANG JIA-WEN,會計系      ,Department of Accounting                                                                                                              ,三234         ,wed09-12,商館260306                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:國貿一甲。第一堂課請務必出席，加簽規則請參照教學大綱，勿來信詢問。本課程於114.12.13(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000314&gop=05&s=1.html
000314061,3.0,初級會計學（一）,Fundamental Accounting (I),戚務君                                                                                                 ,CHI WU-CHUN,會計系      ,Department of Accounting                                                                                                              ,三234         ,wed09-12,資訊140201                      ,必/Required,中文/Mandarin         ,否/No     ,＠異動資訊Information of alteration:N/A,＠備註Note:資管一甲。第一堂課請務必出席。本課程於114.12.13(六)下午舉行期末會考，修課學生皆須參加，無法參加同學請勿修讀。,https://newdoc.nccu.edu.tw/teaschm/1141/schmPrv.jsp-yy=114&smt=1&num=000314&gop=06&s=1.html
