pattern,department,college
Bachelor Program in Artificial Intelligence Applications,Bachelor Program in Artificial Intelligence Applications,College of Informatics
Bachelor Program in Global Studies,Bachelor Program in Global Studies,Unclassified
Bachelor Program in Sport Industry and Culture,Bachelor Program in Sport Industry and Culture,Bachelor Program in Sport Industry and Culture
Bachelor of Science(B.S.) Program in Electrophysics,Bachelor of Science(B.S.) Program in Electrophysics,Unclassified
Center for Creativity and Innovation Studies,Center for Creativity and Innovation Studies,Unclassified
Center for Teacher Education,Center for Teacher Education,Unclassified
Chinese Language Center,Chinese Language Center,Unclassified
College of Commerce,College of Commerce,College of Commerce
College of Communication,College of Communication,College of Communication
College of Education,College of Education,College of Education
College of Informatics,College of Informatics,College of Informatics
College of International Affairs,College of International Affairs,College of International Affairs
College of Law,College of Law,College of Law
College of Liberal Arts,College of Liberal Arts,College of Liberal Arts
College of Social Sciences,College of Social Sciences,College of Social Sciences
Department of Accounting,Department of Accounting,College of Commerce
Department of Advertising,Department of Advertising,College of Communication
Department of Arabic Language & Culture,Department of Arabic Language & Culture,College of Foreign Languages & Literature
Department of Business Administration,Department of Business Administration,College of Commerce
Department of Chinese Literature,Department of Chinese Literature,College of Liberal Arts
Department of Computer Science,Department of Computer Science,College of Informatics
Department of Diplomacy,Department of Diplomacy,College of International Affairs
Department of Economics,Department of Economics,College of Social Sciences
Department of Education,Department of Education,College of Education
Department of English,Department of English,College of Foreign Languages & Literature
Department of Ethnology,Department of Ethnology,College of Social Sciences
Department of European Languages and Cultures,Department of European Languages and Cultures,College of Foreign Languages & Literature
Department of Finance,Department of Finance,College of Commerce
Department of History,Department of History,College of Liberal Arts
Department of International Business,Department of International Business,College of Commerce
Department of Japanese,Department of Japanese,College of Foreign Languages & Literature
Department of Japanese Language and Culture,Department of Japanese,College of Foreign Languages & Literature
Department of Journalism,Department of Journalism,College of Communication
Department of Korean Language and Culture,Department of Korean Language and Culture,College of Foreign Languages & Literature
Department of Land Economics,Department of Land Economics,College of Social Sciences
Department of Law,Department of Law,College of Law
Department of Management Information Systems,Department of Management Information System,College of Commerce
Department of Mathematical Sciences,Department of Mathematical Sciences,College of Science
Department of Money and Banking,Department of Money and Banking,College of Commerce
Department of Philosophy,Department of Philosophy,College of Liberal Arts
Department of Political Science,Department of Political Science,College of Social Sciences
Department of Psychology,Department of Psychology,College of Science
Department of Public Administration,Department of Public Administration,College of Social Sciences
Department of Public Finance,Department of Public Finance,College of Social Sciences
Department of Radio & Television,Department of Radio & Television,College of Communication
Department of Risk Management and Insurance,Department of Risk Management and Insurance,Unclassified
Department of Slavic Languages and Literatures,Department of Slavic Languages and Literatures,Unclassified
Department of Sociology,Department of Sociology,College of Social Sciences
Department of Southeast Asian Languages and Cultures,Department of Southeast Asian Languages and Cultures,College of Foreign Languages & Literature
Department of Statistics,Department of Statistics,College of Commerce
Department of Turkish Language and Culture,Department of Turkish Language and Culture,College of Foreign Languages & Literature
Doctor's Program in Teaching Chinese as a Second Language,Doctor's Program in Teaching Chinese as a Second Language,Unclassified
Doctoral Program in Japan Studies,Doctoral Program in Japan Studies,College of International Affairs
E-learning Master Program of Library and Information Studies,E-learning Master Program of Library and Information Studies,Unclassified
Election Study Center,Election Study Center,Unclassified
Executive Master of Laws Program,Executive Master of Laws Program,Unclassified
Foreign Languages Center,Foreign Languages Center,College of Foreign Languages & Literature
Graduate Institute of Applied Physics,Graduate Institute of Applied Physics,College of Science
Graduate Institute of Development Studies,Graduate Institute of Development Studies,College of Social Sciences
Graduate Institute of Early Childhood Education,Graduate Institute of Early Childhood Education,College of Education
Graduate Institute of East Asian Studies,Graduate Institute of East Asian Studies,College of International Affairs
Graduate Institute of Educational Administration and Policy,Graduate Institute of Educational Administration and Policy,College of Education
Graduate Institute of Labor Research,Graduate Institute of Labor Research,College of Social Sciences
