Course,Affordable and Clean Energy,Clean Water and Sanitation,Climate Action,Decent Work and Economic Growth,Gender Equality,Good Health and Well-being,"Industry, Innovation and Infrastructure",Life Below Water,Life on Land,No Poverty,Partnerships for the Goals,"Peace, Justice and Strong Institutions",Quality Education,Reduced Inequalities,Responsible Consumption and Production,Sustainable Cities and Communities,Zero Hunger
207029001,1.0323,0.0000,1.2905,0.0000,0.0000,0.6713,0.0000,0.0000,1.8074,0.0000,0.3615,1.8074,0.2582,0.2582,0.7741,0.0000,0.0000
207054001,0.0000,0.5164,1.2910,1.2910,0.0000,0.0000,0.0000,1.5492,0.0000,0.0000,0.0000,0.2582,1.5492,0.0000,0.0000,0.7746,0.0000
207083001,0.0000,0.0000,0.0000,0.2582,0.0000,0.0000,0.0000,0.0000,0.5159,0.7741,0.5164,0.7746,0.2582,1.2905,0.0000,0.7746,0.0000
207103001,0.0000,0.7741,0.0000,1.0328,0.0000,0.0000,0.0000,0.0000,1.2905,1.2905,0.0000,0.2582,0.0000,1.7041,0.0000,0.0000,0.0000
207742001,0.0000,0.0000,0.0000,0.4830,0.0000,0.0000,0.0000,0.0000,0.4830,0.0000,0.2415,0.0000,0.0000,1.2071,0.2415,0.2415,0.0000
207938001,0.5164,0.5159,2.3233,0.2582,0.0000,1.0328,0.2582,0.0000,0.2582,0.7741,0.0000,0.2582,0.0000,0.7741,0.7746,0.1033,0.0000
207957001,0.0000,0.5270,0.5265,0.7906,0.0000,0.7900,0.5270,0.0000,0.7906,0.5270,0.0000,1.0541,2.6352,0.0000,0.5265,0.0000,0.5265
207959001,1.5811,0.2635,0.0000,0.0000,0.0000,0.5270,0.2635,0.0000,0.5270,0.0000,0.0000,0.0000,0.5270,0.2635,0.7906,0.0000,0.0000
257723001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3162,0.7903,0.0000,0.7906,0.0000,0.3162,0.7906,0.0000,0.0000
923882001,1.3171,0.5270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7906,0.0000,0.7906,1.0541,0.5270,0.5270,0.7906,0.0000,0.5270
923900001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2582,0.0000,1.5492,0.5164,0.0000,0.0000,0.5159,0.7746,0.0000,0.2582,0.0000
